Severity,Line,Rule ID,Rule Title,Message,Suggestion,Line Content
MEDIUM,1,BP086BFB42,ENV,"Due to the linter's limitations, it cannot verify if ENV instructions are used to unset environment variables in a future layer effectively or if they are used in a way that makes version bumps easier. Manual review is required to ensure ENV instructions are used optimally, including the use of ENV for setting paths, providing service-specific variables, and facilitating easy software version updates.","Use ENV to prepend directories to the PATH environment variable to ensure software runs without specifying full paths. Also, use ENV to define necessary environment variables for services and to manage software versions easily. Avoid setting environment variables that should be unset later; instead, use RUN for temporary environment variable changes.",Global Check: Manual Review
MEDIUM,1,BP29F91BA8,Rebuild your images often,"Due to the linter's limitations in understanding Docker build context, flags like --no-cache, and the dynamic nature of image tags over time, this check requires manual review to ensure images are rebuilt often with updated dependencies and without relying on cached layers.","Manually ensure that your Docker images are rebuilt frequently to incorporate updated dependencies and base images. Consider using the --no-cache option during builds to avoid using cached layers and ensure that you are using the most up-to-date versions of base images and dependencies. Additionally, consider pinning base image versions to specific, updated tags to avoid unintended changes.",Global Check: Manual Review
HIGH,1,BP2AA02452,Create ephemeral containers,"Ensuring containers are ephemeral requires a comprehensive understanding of the application's architecture, Dockerfile instructions, and potentially external configurations or scripts that are not discernible on a line-by-line basis. This includes verifying that state is not being stored in the container, ensuring that configurations are passed in at runtime rather than baked into the image, and that the container is designed to be disposable and quickly replaceable without loss of data.","Design your Dockerfile and application to support ephemeral containers. Avoid storing state or data within the container that would be lost upon its destruction. Utilize volumes for data persistence, and inject configuration through environment variables or external configuration files at runtime. Ensure that your container can be easily replaced by a new instance without manual intervention or setup.",Global Check: Manual Review
HIGH,1,BP32CAE590,Choose the right base image,"Due to the linter's limitations, it cannot verify if the chosen base image is from a trusted source, nor can it determine if the image is part of a recognized program. Additionally, choosing a base image for different stages of development (build/test vs. production) requires understanding the application's architecture and dependencies, which is beyond the linter's capabilities.",Choose a minimal base image like 'scratch' or 'alpine' for your Dockerfile to minimize vulnerabilities and ensure it's from a trusted source. Avoid using the ':latest' tag to prevent unexpected changes. Consider manual review to ensure the base image is appropriate for the application's stage of development and security requirements.,Global Check: Manual Review
LOW,1,BP496813AA,Sort multi-line arguments,"Due to the linter's inability to parse Dockerfile structure or understand context across multiple lines, verifying that multi-line arguments are sorted alphanumerically requires manual review.",Manually review multi-line arguments in RUN instructions to ensure they are sorted alphanumerically. This includes checking for alphabetical order and ensuring a space is present before a backslash for line continuation.,Global Check: Manual Review
MEDIUM,1,BP4C08BC02,ONBUILD,"Manual review is required to ensure that ONBUILD instructions are used appropriately, especially when adding resources with ADD or COPY, and to verify that the child Dockerfile can handle the ONBUILD triggers correctly.",Ensure that images intended for use as a base with ONBUILD instructions have an '-onbuild' tag in their FROM line. Verify manually that ONBUILD instructions are used correctly and that child Dockerfiles are prepared for these triggers.,Global Check: Manual Review
MEDIUM,1,BP4F995E92,ADD or COPY,"Due to the linter's limitations, it cannot verify if ADD is used appropriately for remote files only or if COPY is preferred for local files. Manual review is required to ensure the correct use of ADD and COPY instructions based on their specific use cases and advantages.",Use COPY for copying local files and ADD for remote files or tar extraction. Avoid using ADD for local files to prevent unexpected behavior.,Global Check: Manual Review
MEDIUM,1,BP5FE7DA5A,Create reusable stages,"Due to the linter's limitations, it cannot verify if a common stage is defined and reused across multiple stages within the Dockerfile. This requires understanding the Dockerfile's structure and the context of how stages are used, which goes beyond simple line-by-line analysis.",Consider defining a common stage with shared components used by multiple images. Use this as a base for other stages to improve efficiency and maintainability.,Global Check: Manual Review
HIGH,1,BP6EB0C612,USER,"Instruction 'USER' count is 0, which violates the requirement (less than 1). Ensures at least one USER instruction exists to switch from root.","Ensure the Dockerfile includes at least one USER instruction to switch to a non-root user. Avoid using 'sudo' within RUN instructions. Consider manual review for proper user and group setup, appropriate use of 'gosu', and minimizing USER switches.",Global Check: USER Count
HIGH,1,BP6EB0C612,USER,"Due to the linter's limitations, it cannot verify if a non-root user was properly created before switching to it with the USER instruction. Manual review is required to ensure a user and group are correctly established in the Dockerfile.","Ensure the Dockerfile includes at least one USER instruction to switch to a non-root user. Avoid using 'sudo' within RUN instructions. Consider manual review for proper user and group setup, appropriate use of 'gosu', and minimizing USER switches.",Global Check: Manual Review
